,AGREEMENT_RK,AGE,GEN_TITLE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,TARGET
0,59910150,49,Рабочий,1,0,1,2,1,5000.0,2,2,0
2,59910230,32,Рабочий,1,0,1,3,3,12000.0,1,1,0
3,59910525,52,Специалист,1,0,1,4,0,9000.0,2,1,0
5,59910803,39,Руководитель среднего звена,1,0,1,1,1,25000.0,1,1,0
6,59911781,30,Специалист,1,0,0,0,0,12000.0,2,1,0
8,59911784,29,Специалист,1,0,0,0,0,12000.0,2,1,0
10,59911832,35,Специалист,1,0,0,1,1,15000.0,2,2,0
12,59912034,41,Рабочий,1,0,1,0,0,6000.0,2,1,0
14,59912560,53,Руководитель высшего звена,1,0,0,2,0,100000.0,1,1,0
15,59912659,43,Специалист,1,0,1,0,0,7000.0,1,1,0
16,59912692,54,Служащий,1,0,1,2,0,19000.0,1,1,0
17,59913108,26,Работник сферы услуг,1,0,0,0,0,18000.0,2,1,1
19,59913134,62,Рабочий,0,1,0,3,0,7000.0,1,1,1
20,59913205,45,Рабочий,1,0,1,3,1,12000.0,1,1,0
21,59913395,38,Высококвалифиц. специалист,1,0,1,0,1,20000.0,2,1,0
23,59913542,41,Индивидуальный предприниматель,1,0,1,0,0,60000.0,1,1,1
24,59913603,65,,0,1,1,2,0,10000.0,1,1,0
25,59913652,29,Рабочий,1,0,1,1,1,5200.0,1,1,0
26,59913736,34,Рабочий,1,0,0,0,0,35000.0,1,1,1
27,59913985,28,Специалист,1,0,1,0,0,15000.0,1,1,0
28,59914132,37,Специалист,1,0,1,1,1,10000.0,1,1,0
29,59914133,42,Специалист,1,0,1,1,1,10000.0,1,1,0
30,59914282,45,Специалист,1,0,1,3,2,14000.0,1,1,0
31,59914348,32,Специалист,1,0,1,0,0,10000.0,1,1,0
32,59914507,33,Рабочий,1,0,1,1,1,8000.0,1,1,0
33,59914532,38,Рабочий,1,0,1,1,1,13000.0,1,1,0
34,59914562,27,Руководитель среднего звена,1,0,1,0,0,12500.0,1,1,0
35,59914760,31,Специалист,1,0,1,1,1,12000.0,1,1,1
